80 50
1 1 1 19,21
1 2 2 10,12
1 3 3 11,32
1 4 4 13,04
1 5 5 12,65
1 6 6 19,76
1 7 7 17,25
1 8 8 12,57
1 9 9 10,48
1 10 10 17,52
1 11 11 10,05
1 12 12 10,05
1 13 13 18,93
1 14 14 15,12
1 15 15 18,59
1 16 16 11,56
1 17 17 12,51
1 18 18 17,14
1 19 19 14,77
1 20 20 19,11
1 21 21 17,63
1 22 22 19,00
1 23 23 16,50
1 24 24 16,01
1 25 25 15,70
1 26 26 11,73
1 27 27 12,96
1 28 28 18,66
1 29 29 15,42
1 30 30 11,81
1 31 31 11,98
1 32 32 18,60
1 33 33 11,30
1 34 34 18,58
1 35 35 17,63
1 36 36 14,90
1 37 37 17,55
1 38 38 12,08
1 39 39 13,82
1 40 40 14,44
1 41 41 12,13
1 42 42 11,49
1 43 43 16,47
1 44 44 16,89
1 45 45 15,66
1 46 46 18,07
1 47 47 12,12
1 48 48 11,95
1 49 49 13,90
1 50 50 16,60
1 51 51 15,86
1 52 52 18,64
1 53 53 10,53
1 54 54 16,43
1 55 55 15,24
1 56 56 10,48
1 57 57 18,88
1 58 58 16,50
1 59 59 19,58
1 60 60 15,66
1 61 61 17,77
1 62 62 18,56
1 63 63 16,02
1 64 64 18,42
1 65 65 16,28
1 66 66 19,74
1 67 67 14,81
1 68 68 16,32
1 69 69 17,07
1 70 70 18,14
1 71 71 16,13
1 72 72 18,39
1 73 73 15,97
1 74 74 15,35
1 75 75 10,09
1 76 76 10,57
1 77 77 17,75
1 78 78 15,62
1 79 79 19,54
1 80 80 18,40
1 1 2 24,20
1 2 3 15,69
1 3 4 16,09
1 4 5 14,81
1 5 6 27,92
1 6 7 33,37
1 7 8 28,33
1 8 9 13,00
1 9 10 25,97
1 10 11 20,31
1 11 12 15,51
1 12 13 25,50
1 13 14 26,00
1 14 15 24,91
1 15 16 19,03
1 16 17 12,89
1 17 18 26,72
1 18 19 22,66
1 19 20 26,42
1 20 21 20,32
1 21 22 31,21
1 22 23 20,98
1 23 24 28,17
1 24 25 24,85
1 25 26 25,54
1 26 27 21,50
1 27 28 27,48
1 28 29 20,32
1 29 30 18,11
1 30 31 16,23
1 31 32 19,52
1 32 33 18,62
1 33 34 26,35
1 34 35 20,01
1 35 36 24,13
1 36 37 19,44
1 37 38 23,56
